index,screener,tenure,time_managing,resource_location,compute_budget,personal_cost,multiple_processors,sig_team_size,sig_year,sig_component,sig_total_cost,sig_training_cost,same_project,comp_team_size,comp_year,comp_component,comp_total_cost,comp_training_cost,budget_priorities,relative_comp_needed,relative_comp_access,contribution_concern,useful_resources,leaving_academia,company_size,AI_subfield_i,role,vision_subfield_i,robotics_subfield_i,nlp_subfield_i,rl_subfield_i,other_subfield_i,education,sig_factors,comp_proj_changes,data_proj_changes,researcher_proj_chan,past_AI_progress,future_AI_factors,acad_leaving_factors
0,Some my time,0 - 5 years,0-25%,,,<$100,1 processor,1,2017,,$0 ,None,,1,2017,,$0 ,None,,Much less,Much less,Note at all concerned,,,,,,,,,,,,Not at all important,Never,Never,Never,Strongly disagree,Strongly disagree,Not at all important
1,A moderate amount of my time,6 - 10 years,26-50%,Cloud,I used free compute resources,$101-500,2-8 processors,2–5,2018,Design,"$1-1,000",<50,, 2-5,2018,Design,"$1-1,000",<50,Collecting more data,Somewhat less,Somewhat less,Slightly concerned,Data resources,Yes,Under 500,,Academia,Image recognition,Localization,,Continuous control,,Less than high school,Slightly important,Rarely,Rarely,Rarely,Somewhat disagree,Somewhat disagree,Slightly important
2,Almost all of my time,>10 years,51-75%,On-premise,,"$501-1,000",9-100 processors,6–15,2019,,"$1,001-10,000",51-500,, 6-15,2019,,"$1,001-10,000",51-500,Refining or cleaning data,About the same,About the same,Somewhat concerned,Compute resources,No,Over 500,,,Saliency detection,Mapping,,Program learning,,High school graduate,Moderately important,Sometimes,Sometimes,Sometimes,Neither agree nor disagree,Neither agree nor disagree,Moderately important
3,All of my time,,76-100%,,,"$1,001-$5,000",>100 processors,16–50,2020,,"$10,001-100,000","501-5,000",Yes, 16-50,2020,,"$10,001-100,000","501-5,000",Purchasing more or higher-quality compute,Somewhat more,Somewhat more,Moderately concerned,Technical staff,,,,,Image segmentation,Manipulation,,Environments with language,,Some college,Very important,Often,Often,Often,Somewhat agree,Somewhat agree,Very important
4,,,,,,">$5,000",,>50,2021,,"$100,001-1,000,000","5,001-50,000",No,>50,2021,,"$100,001-1,000,000","5,001-50,000",Hiring more programmers or engineers,Much more,Much more,Extremely concerned,,,,,Industry,Object tracking and/or re-identification,Simultaneous localization and mapping (SLAM),,Procedurally generated environments,,Associate's degree,Extremely important,All the time,All the time,All the time,Strongly agree,Strongly agree,Extremely important
5,,,,,,,,,2022,Data collection or processing,">$1,000,000","50,001-500,000",,,2022,Data collection or processing,">$1,000,000","50,001-500,000",Hiring researchers,,,,,,,,Government,Facial recognition,Navigation,,Game-playing,,Bachelor's degree,,,,,,,
6,,,,,,,,,Project is ongoing,Training,,">500,000",,,Project is ongoing,Training,,">500,000",Doing more evaluation or testing,,,,Grant funding,,,Computer Vision,None of the above,Autonomous vehicles,Autonomous driving,,3D worlds,Recommender systems,Master's or other professional degree,,,,,,,
7,,,,,,,,,,Testing and evaluation,,,,,,Testing and evaluation,,,,,,,"Guidelines, standards, and frameworks",,,Robotics,,Image or video generation,Robot perception,,Other,Speech,Doctorate,,,,,,,
8,,,,,,,,,,Deployment,,,,,,Deployment,,,,,,,,,,Natural Language Processing,,Captioning and summarization,Continuous control,,Simulation design,Time series data,,,,,,,,
9,,,,,I paid using personal funds,,,,,Maintenance,,,,,,Maintenance,,,,,,,,,,Reinforcement Learning,,Reconstruction,Other,,,Music and audio,,,,,,,,
10,,,,,"I paid using outside funding, not from my employer",,,,,,,,,,,,,,,,,,,,,Other,,Other,,,,Graph analysis,,,,,,,,
11,,,,,My employer paid,,,,,,,,,,,,,,,,,,,,,,,,,,,Algorithmic or architecture analysis,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None of these,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Common sense inference,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Computer vision and NLP,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cross-lingual tasks,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dialogue,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Information extraction,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Language and knowledge bases,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Language modeling,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Machine translation,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Named entity recognition,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Optical character recognition (OCR),,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Part-of-speech tagging,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Question answering,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sentiment analysis,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Summarization,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Text classification,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Text generation,,,,,,,,,,
