,Screener,Tenure,TimeManaging,CloudUser,OnPremise,LocationUnk,UsedFree,UsedPersonal,UsedGrants,EmployerPaid,PaymentUnk,PersonalCost,MultipleProcessors,NoSigProject,SigTeamSize,SigYear,SigComponent,SigCost,SigGPUs,SuccessData,SuccessTeamSize,SuccessTalent,SuccessCompute,SameProject,CompTeamSize,CompYear,CompComponent,CompCost,CompGPUs,TopPriority,NeedChanges,AccessChanges,ComputeReject,ComputeRevise,ComputeAbandon,DataReject,DataRevise,DataAbandon,ResearcherReject,ResearcherRevise,ResearcherAbandon,PastData,PastCompute,PastAlgorithms,PastResearchers,PastSupport,FutureData,FutureCompute,FutureAlgorithms,FutureResearchers,FutureSupport,ContributionConcern,WantsData,WantsCompute,WantsStaff,WantsGrants,WantsStandards,Sector,ConsideredLeaving,LeavingSalary,LeavingData,LeavingCompute,LeavingProjects,LeavingContribution,CompanySize,Education,CV,Robotics,NLP,RL,Other,ImageRecognition,SaliencyDetection,ImageSegmentation,ObjectTracking,FacialRecognition,AutonomousVehicles,ImageOrVideoGeneration,CaptioningAndSummarization,Reconstruction,CVOther,Localization,Mapping,Manipulation,SLAM,Navigation,AutonomousDriving,RobotPerception,ContinuousControlRobotics,RoboticsOther,CommonSenseInference,ComputerVisionAndNLP,CrossLingualTasks,Dialogue,InformationExtraction,LanguageAndKnowledgeBases,LanguageModeling,MachineTranslation,NamedEntityRecognition,OCR,NLPOther,PartOfSpeechTagging,QuestionAnswering,SentimentAnalysis,Summarization,TextClassification,TextGeneration,ContinuousControlRL,ProgramLearning,EnvironmentsWithLanguage,ProcedurallyGeneratedEnvironments,GamePlaying,3DWorlds,SimulationDesign,RLOther,RecommenderSystems,Speech,TimeSeriesData,MusicAndAudio,GraphAnalysis,AlgorithmicOrArchitectureAnalysis,NoneofThese,PrioritySimplified
0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,,1.0,,1.0,4.0,3.0,,,2.0,2.0,3.0,2.0,1.0,1.0,3.0,,3.0,2.0,,2.0,2.0,,2.0,,,2.0,0.0,0.0,1.0,0.0,,2.0,,,4.0,4.0,3.0,,3.0,3.0,0.0,1.0,0.0,,0.0,1.0,Academia,0.0,,0.0,,,,,6.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,1.0,0.0,0.0,,,,,,0.0,,,0.0,,,1.0,,,,,,,,,,,,,,,,,Talent
1,1.0,1.0,0.0,,1.0,0.0,1.0,0.0,0.0,,0.0,,1.0,1.0,1.0,6.0,2.0,0.0,0.0,4.0,1.0,2.0,3.0,1.0,1.0,,2.0,,1.0,Purchasing more or higher-quality compute,2.0,3.0,2.0,,0.0,,3.0,0.0,3.0,4.0,0.0,3.0,4.0,,3.0,3.0,3.0,,,4.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,,1.0,,,1.0,,1.0,,6.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,1.0,0.0,,,,,,0.0,,,,,,,,,,,1.0,,,0.0,,1.0,,1.0,Talent
2,2.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,,0.0,,2.0,4.0,2.0,,,3.0,1.0,4.0,3.0,1.0,2.0,2.0,,3.0,,Hiring researchers,4.0,,,2.0,0.0,3.0,2.0,2.0,,,2.0,4.0,4.0,4.0,4.0,,,4.0,,3.0,3.0,0.0,,1.0,1.0,0.0,0.0,Academia,1.0,,1.0,4.0,,0.0,,6.0,0.0,0.0,1.0,0.0,1.0,1.0,,,0.0,,,,,1.0,,,,,,,,,,,,0.0,,,,0.0,,,,,,,0.0,,0.0,,,,,,,0.0,,,,,,,,,,1.0,Compute
3,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,,2.0,4.0,2.0,,3.0,3.0,,4.0,4.0,1.0,2.0,4.0,2.0,,4.0,Hiring researchers,3.0,,0.0,3.0,0.0,2.0,3.0,1.0,3.0,4.0,1.0,4.0,3.0,3.0,1.0,4.0,,4.0,1.0,3.0,3.0,,1.0,1.0,0.0,,,,0.0,,,,,,>500 Employees,6.0,,,1.0,0.0,0.0,,,,,,,,,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,1.0,,0.0,,,,,1.0,,,,,,,,,,,,0.0,,,Compute
4,4.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,1.0,,1.0,,2.0,,,0.0,,3.0,0.0,1.0,1.0,5.0,2.0,4.0,,Refining or cleaning data,4.0,3.0,0.0,,0.0,2.0,1.0,0.0,1.0,3.0,0.0,,4.0,4.0,3.0,,4.0,4.0,,,,1.0,,1.0,1.0,1.0,1.0,Academia,,,,,,,,6.0,0.0,0.0,0.0,0.0,1.0,1.0,,,1.0,,,,0.0,,,,0.0,,1.0,,,,0.0,,0.0,,,,,,0.0,,,0.0,,0.0,,,,,,,,,0.0,,,,,,,,,,,,Talent
5,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,1.0,,2.0,4.0,2.0,,,,3.0,,,1.0,2.0,6.0,3.0,3.0,3.0,Doing more evaluation or testing,2.0,3.0,1.0,,4.0,2.0,0.0,3.0,,,1.0,3.0,,3.0,2.0,,,2.0,4.0,,3.0,0.0,1.0,1.0,0.0,1.0,0.0,Industry,1.0,,0.0,,,2.0,,6.0,,0.0,0.0,0.0,1.0,1.0,,0.0,,,,1.0,,,0.0,,,,,,,0.0,,,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,1.0,,1.0,,,Evaluation
6,3.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,2.0,,1.0,6.0,3.0,0.0,,4.0,3.0,,4.0,1.0,2.0,6.0,3.0,,3.0,Hiring researchers,,4.0,,0.0,0.0,0.0,,,2.0,2.0,1.0,,4.0,3.0,3.0,,4.0,,4.0,3.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,,,4.0,,,1.0,,,6.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,0.0,,0.0,0.0,
7,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,,1.0,,1.0,4.0,2.0,,3.0,0.0,0.0,4.0,,0.0,2.0,6.0,2.0,2.0,3.0,Purchasing more or higher-quality compute,4.0,2.0,0.0,,,,,,,4.0,0.0,3.0,3.0,3.0,4.0,4.0,,2.0,0.0,4.0,4.0,3.0,0.0,1.0,1.0,1.0,,Academia,0.0,,3.0,,,,,6.0,1.0,,1.0,1.0,0.0,1.0,,,,,,0.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,0.0,,,,,Data
8,3.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,,1.0,6.0,2.0,1.0,3.0,3.0,,4.0,2.0,0.0,2.0,4.0,2.0,2.0,1.0,Purchasing more or higher-quality compute,2.0,2.0,1.0,3.0,1.0,,0.0,,1.0,3.0,,4.0,4.0,3.0,3.0,,4.0,,2.0,4.0,4.0,1.0,1.0,0.0,0.0,1.0,1.0,Industry,,3.0,,,4.0,,,6.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,,,,0.0,1.0,,,0.0,,,,,,0.0,,,0.0,,,,1.0,,,,0.0,,,,0.0,,,,,,,,,1.0,0.0,,0.0,0.0,,,,Talent
9,1.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,,1.0,0.0,,2.0,,1.0,2.0,2.0,,3.0,4.0,4.0,4.0,,0.0,1.0,5.0,2.0,,0.0,Collecting more data,2.0,2.0,0.0,0.0,0.0,,2.0,0.0,4.0,3.0,1.0,,4.0,4.0,,4.0,4.0,4.0,3.0,,,3.0,,1.0,1.0,1.0,,Academia,,,,2.0,,3.0,,,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,0.0,0.0,,,,,,,0.0,0.0,,0.0,,0.0,,,,0.0,1.0,,,,,,,,,,,,0.0,,0.0,,,0.0,,0.0,,,1.0,,Compute
